2024-06-29 21:26:20 install debian-archive-keyring:all <none> 2019.1+deb10u1
2024-06-29 21:26:20 status half-installed debian-archive-keyring:all 2019.1+deb10u1
2024-06-29 21:26:20 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2024-06-29 21:26:21 install debianutils:amd64 <none> 4.8.6.1
2024-06-29 21:26:21 status half-installed debianutils:amd64 4.8.6.1
2024-06-29 21:26:21 status unpacked debianutils:amd64 4.8.6.1
2024-06-29 21:26:21 install diffutils:amd64 <none> 1:3.7-3
2024-06-29 21:26:21 status half-installed diffutils:amd64 1:3.7-3
2024-06-29 21:26:21 status unpacked diffutils:amd64 1:3.7-3
2024-06-29 21:26:21 upgrade dpkg:amd64 1.19.8 1.19.8
2024-06-29 21:26:21 status half-configured dpkg:amd64 1.19.8
2024-06-29 21:26:21 status unpacked dpkg:amd64 1.19.8
2024-06-29 21:26:21 status half-installed dpkg:amd64 1.19.8
2024-06-29 21:26:21 status unpacked dpkg:amd64 1.19.8
2024-06-29 21:26:21 install e2fsprogs:amd64 <none> 1.44.5-1+deb10u3
2024-06-29 21:26:21 status half-installed e2fsprogs:amd64 1.44.5-1+deb10u3
2024-06-29 21:26:21 status unpacked e2fsprogs:amd64 1.44.5-1+deb10u3
2024-06-29 21:26:21 install fdisk:amd64 <none> 2.33.1-0.1
2024-06-29 21:26:21 status half-installed fdisk:amd64 2.33.1-0.1
2024-06-29 21:26:21 status unpacked fdisk:amd64 2.33.1-0.1
2024-06-29 21:26:21 install findutils:amd64 <none> 4.6.0+git+20190209-2
2024-06-29 21:26:21 status half-installed findutils:amd64 4.6.0+git+20190209-2
2024-06-29 21:26:21 status unpacked findutils:amd64 4.6.0+git+20190209-2
2024-06-29 21:26:21 install gcc-8-base:amd64 <none> 8.3.0-6
2024-06-29 21:26:21 status half-installed gcc-8-base:amd64 8.3.0-6
2024-06-29 21:26:21 status unpacked gcc-8-base:amd64 8.3.0-6
2024-06-29 21:26:21 install gpgv:amd64 <none> 2.2.12-1+deb10u2
2024-06-29 21:26:21 status half-installed gpgv:amd64 2.2.12-1+deb10u2
2024-06-29 21:26:21 status unpacked gpgv:amd64 2.2.12-1+deb10u2
2024-06-29 21:26:21 install grep:amd64 <none> 3.3-1
2024-06-29 21:26:21 status half-installed grep:amd64 3.3-1
2024-06-29 21:26:21 status unpacked grep:amd64 3.3-1
2024-06-29 21:26:21 install gzip:amd64 <none> 1.9-3+deb10u1
2024-06-29 21:26:21 status half-installed gzip:amd64 1.9-3+deb10u1
2024-06-29 21:26:21 status unpacked gzip:amd64 1.9-3+deb10u1
2024-06-29 21:26:21 install hostname:amd64 <none> 3.21
2024-06-29 21:26:21 status half-installed hostname:amd64 3.21
2024-06-29 21:26:21 status unpacked hostname:amd64 3.21
2024-06-29 21:26:21 install init-system-helpers:all <none> 1.56+nmu1
2024-06-29 21:26:21 status half-installed init-system-helpers:all 1.56+nmu1
2024-06-29 21:26:21 status unpacked init-system-helpers:all 1.56+nmu1
2024-06-29 21:26:21 install libacl1:amd64 <none> 2.2.53-4
2024-06-29 21:26:21 status half-installed libacl1:amd64 2.2.53-4
2024-06-29 21:26:21 status unpacked libacl1:amd64 2.2.53-4
2024-06-29 21:26:21 install libapt-pkg5.0:amd64 <none> 1.8.2.3
2024-06-29 21:26:21 status half-installed libapt-pkg5.0:amd64 1.8.2.3
2024-06-29 21:26:21 status unpacked libapt-pkg5.0:amd64 1.8.2.3
2024-06-29 21:26:21 install libattr1:amd64 <none> 1:2.4.48-4
2024-06-29 21:26:21 status half-installed libattr1:amd64 1:2.4.48-4
2024-06-29 21:26:21 status unpacked libattr1:amd64 1:2.4.48-4
2024-06-29 21:26:21 install libaudit-common:all <none> 1:2.8.4-3
2024-06-29 21:26:21 status half-installed libaudit-common:all 1:2.8.4-3
2024-06-29 21:26:21 status unpacked libaudit-common:all 1:2.8.4-3
2024-06-29 21:26:22 install libaudit1:amd64 <none> 1:2.8.4-3
2024-06-29 21:26:22 status half-installed libaudit1:amd64 1:2.8.4-3
2024-06-29 21:26:22 status unpacked libaudit1:amd64 1:2.8.4-3
2024-06-29 21:26:22 install libblkid1:amd64 <none> 2.33.1-0.1
2024-06-29 21:26:22 status half-installed libblkid1:amd64 2.33.1-0.1
2024-06-29 21:26:22 status unpacked libblkid1:amd64 2.33.1-0.1
2024-06-29 21:26:22 install libbz2-1.0:amd64 <none> 1.0.6-9.2~deb10u1
2024-06-29 21:26:22 status half-installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2024-06-29 21:26:22 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2024-06-29 21:26:22 install libc-bin:amd64 <none> 2.28-10+deb10u1
2024-06-29 21:26:22 status half-installed libc-bin:amd64 2.28-10+deb10u1
2024-06-29 21:26:22 status unpacked libc-bin:amd64 2.28-10+deb10u1
2024-06-29 21:26:22 upgrade libc6:amd64 2.28-10+deb10u1 2.28-10+deb10u1
2024-06-29 21:26:22 status half-configured libc6:amd64 2.28-10+deb10u1
2024-06-29 21:26:22 status unpacked libc6:amd64 2.28-10+deb10u1
2024-06-29 21:26:22 status half-installed libc6:amd64 2.28-10+deb10u1
2024-06-29 21:26:22 status unpacked libc6:amd64 2.28-10+deb10u1
2024-06-29 21:26:22 install libcap-ng0:amd64 <none> 0.7.9-2
2024-06-29 21:26:22 status half-installed libcap-ng0:amd64 0.7.9-2
2024-06-29 21:26:22 status unpacked libcap-ng0:amd64 0.7.9-2
2024-06-29 21:26:22 install libcom-err2:amd64 <none> 1.44.5-1+deb10u3
2024-06-29 21:26:22 status half-installed libcom-err2:amd64 1.44.5-1+deb10u3
2024-06-29 21:26:22 status unpacked libcom-err2:amd64 1.44.5-1+deb10u3
2024-06-29 21:26:22 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.5
2024-06-29 21:26:22 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.5
2024-06-29 21:26:22 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
2024-06-29 21:26:22 install libdebconfclient0:amd64 <none> 0.249
2024-06-29 21:26:22 status half-installed libdebconfclient0:amd64 0.249
2024-06-29 21:26:22 status unpacked libdebconfclient0:amd64 0.249
2024-06-29 21:26:23 install libext2fs2:amd64 <none> 1.44.5-1+deb10u3
2024-06-29 21:26:23 status half-installed libext2fs2:amd64 1.44.5-1+deb10u3
2024-06-29 21:26:23 status unpacked libext2fs2:amd64 1.44.5-1+deb10u3
2024-06-29 21:26:23 install libfdisk1:amd64 <none> 2.33.1-0.1
2024-06-29 21:26:23 status half-installed libfdisk1:amd64 2.33.1-0.1
2024-06-29 21:26:23 status unpacked libfdisk1:amd64 2.33.1-0.1
2024-06-29 21:26:23 install libffi6:amd64 <none> 3.2.1-9
2024-06-29 21:26:23 status half-installed libffi6:amd64 3.2.1-9
2024-06-29 21:26:23 status unpacked libffi6:amd64 3.2.1-9
2024-06-29 21:26:23 install libgcc1:amd64 <none> 1:8.3.0-6
2024-06-29 21:26:23 status half-installed libgcc1:amd64 1:8.3.0-6
2024-06-29 21:26:23 status unpacked libgcc1:amd64 1:8.3.0-6
